"No.","Time","Source","Destination","Protocol","Length","Info"
"113","108.282884","73.6.91.115","131.243.2.12","FTP","80","Request: PORT 73,6,91,115,150,106"
"114","108.283201","131.243.2.12","73.6.91.115","FTP","84","Response: 200 PORT command successful."
"115","108.635965","73.6.91.115","131.243.2.12","TCP","54","2027  >  21 [ACK] Seq=4190971493 Ack=364764804 Win=16912 Len=0"
"116","109.611012","73.6.91.115","131.243.2.12","FTP","80","Request: PORT 73,6,91,115,150,106"
"117","109.611330","131.243.2.12","73.6.91.115","FTP","84","Response: 200 PORT command successful."
"118","109.981458","73.6.91.115","131.243.2.12","TCP","54","2027  >  21 [ACK] Seq=4190971519 Ack=364764834 Win=16882 Len=0"
"119","110.953276","73.6.91.115","131.243.2.12","FTP","80","Request: PORT 73,6,91,115,150,106"
"120","110.953620","131.243.2.12","73.6.91.115","FTP","84","Response: 200 PORT command successful."
"121","111.356304","73.6.91.115","131.243.2.12","TCP","54","2027  >  21 [ACK] Seq=4190971545 Ack=364764864 Win=16852 Len=0"
"122","111.479952","142.164.6.70","131.243.1.10","FTP","85","Request: CWD bro-pub-0.7-stable.tar.gz"
"123","111.480459","131.243.1.10","142.164.6.70","TCP","54","21  >  1313 [ACK] Seq=1166104835 Ack=1734984784 Win=17489 Len=0"
"124","111.482322","131.243.1.10","142.164.6.70","FTP","102","Response: 550 bro-pub-0.7-stable.tar.gz: Not a directory"
"125","112.345317","73.6.91.115","131.243.2.12","FTP","80","Request: PORT 73,6,91,115,150,106"
"126","112.345622","131.243.2.12","73.6.91.115","FTP","84","Response: 200 PORT command successful."
"127","112.687865","73.6.91.115","131.243.2.12","TCP","54","2027  >  21 [ACK] Seq=4190971571 Ack=364764894 Win=16822 Len=0"
"128","113.710598","73.6.91.115","131.243.2.12","FTP","80","Request: PORT 73,6,91,115,150,106"
"129","113.710923","131.243.2.12","73.6.91.115","FTP","84","Response: 200 PORT command successful."
"130","114.011850","73.6.91.115","131.243.2.12","TCP","54","2027  >  21 [ACK] Seq=4190971597 Ack=364764924 Win=16792 Len=0"
"131","115.072022","73.6.91.115","131.243.2.12","FTP","80","Request: PORT 73,6,91,115,150,106"
"132","115.072326","131.243.2.12","73.6.91.115","FTP","84","Response: 200 PORT command successful."
"133","115.466518","73.6.91.115","131.243.2.12","TCP","54","2027  >  21 [ACK] Seq=4190971623 Ack=364764954 Win=16762 Len=0"
"134","116.400365","73.6.91.115","131.243.2.12","FTP","80","Request: PORT 73,6,91,115,150,106"
"135","116.400698","131.243.2.12","73.6.91.115","FTP","84","Response: 200 PORT command successful."
"136","116.605859","142.164.6.70","131.243.1.10","FTP","86","Request: CWD bro-pub-0.8-current.tar.gz"
"137","116.606319","131.243.1.10","142.164.6.70","TCP","54","21  >  1313 [ACK] Seq=1166104883 Ack=1734984816 Win=17488 Len=0"
"138","116.608038","131.243.1.10","142.164.6.70","FTP","103","Response: 550 bro-pub-0.8-current.tar.gz: Not a directory"
"139","116.715686","73.6.91.115","131.243.2.12","TCP","54","2027  >  21 [ACK] Seq=4190971649 Ack=364764984 Win=16732 Len=0"
"140","117.765996","73.6.91.115","131.243.2.12","FTP","80","Request: PORT 73,6,91,115,150,106"
"141","117.766317","131.243.2.12","73.6.91.115","FTP","84","Response: 200 PORT command successful."
"142","118.169827","73.6.91.115","131.243.2.12","TCP","54","2027  >  21 [ACK] Seq=4190971675 Ack=364765014 Win=16702 Len=0"
"143","119.120152","73.6.91.115","131.243.2.12","FTP","80","Request: PORT 73,6,91,115,150,106"
"144","119.120462","131.243.2.12","73.6.91.115","FTP","84","Response: 200 PORT command successful."
"145","119.456674","73.6.91.115","131.243.2.12","TCP","54","2027  >  21 [ACK] Seq=4190971701 Ack=364765044 Win=16672 Len=0"
"146","120.449833","73.6.91.115","131.243.2.12","FTP","80","Request: PORT 73,6,91,115,150,106"
"147","120.450194","131.243.2.12","73.6.91.115","FTP","84","Response: 200 PORT command successful."
"148","120.808329","73.6.91.115","131.243.2.12","TCP","54","2027  >  21 [ACK] Seq=4190971727 Ack=364765074 Win=16642 Len=0"
"149","121.870263","73.6.91.115","131.243.2.12","FTP","80","Request: PORT 73,6,91,115,150,106"
"150","121.870607","131.243.2.12","73.6.91.115","FTP","84","Response: 200 PORT command successful."
"151","122.142718","142.164.6.70","131.243.1.10","FTP","69","Request: CWD cbq.tar.Z"
"152","122.143093","131.243.1.10","142.164.6.70","TCP","54","21  >  1313 [ACK] Seq=1166104932 Ack=1734984831 Win=17505 Len=0"
"153","122.144798","131.243.1.10","142.164.6.70","FTP","86","Response: 550 cbq.tar.Z: Not a directory"
"154","122.174343","142.164.6.70","131.243.1.10","TCP","54","1313  >  21 [ACK] Seq=1734984831 Ack=1166104964 Win=8132 Len=0"
"155","122.258477","73.6.91.115","131.243.2.12","TCP","54","2027  >  21 [ACK] Seq=4190971753 Ack=364765104 Win=16612 Len=0"
"156","123.239739","73.6.91.115","131.243.2.12","FTP","80","Request: PORT 73,6,91,115,150,106"
"157","123.240084","131.243.2.12","73.6.91.115","FTP","84","Response: 200 PORT command successful."
"158","123.615243","73.6.91.115","131.243.2.12","TCP","54","2027  >  21 [ACK] Seq=4190971779 Ack=364765134 Win=16582 Len=0"
"159","124.639065","73.6.91.115","131.243.2.12","FTP","80","Request: PORT 73,6,91,115,150,106"
"160","124.639328","131.243.2.12","73.6.91.115","FTP","84","Response: 200 PORT command successful."
"161","124.966953","73.6.91.115","131.243.2.12","TCP","54","2027  >  21 [ACK] Seq=4190971805 Ack=364765164 Win=16552 Len=0"
"162","125.992215","73.6.91.115","131.243.2.12","FTP","80","Request: PORT 73,6,91,115,150,106"
"163","125.992517","131.243.2.12","73.6.91.115","FTP","84","Response: 200 PORT command successful."
"164","126.361968","73.6.91.115","131.243.2.12","TCP","54","2027  >  21 [ACK] Seq=4190971831 Ack=364765194 Win=16522 Len=0"
"165","126.750999","142.164.6.70","131.243.1.10","FTP","70","Request: CWD cbq2.tar.Z"
"166","126.751556","131.243.1.10","142.164.6.70","TCP","54","21  >  1313 [ACK] Seq=1166104964 Ack=1734984847 Win=17504 Len=0"
"167","126.753290","131.243.1.10","142.164.6.70","FTP","87","Response: 550 cbq2.tar.Z: Not a directory"
"168","127.347243","73.6.91.115","131.243.2.12","FTP","80","Request: PORT 73,6,91,115,150,106"
"169","127.347560","131.243.2.12","73.6.91.115","FTP","84","Response: 200 PORT command successful."
"170","127.696525","73.6.91.115","131.243.2.12","TCP","54","2027  >  21 [ACK] Seq=4190971857 Ack=364765224 Win=16492 Len=0"
"171","128.719613","73.6.91.115","131.243.2.12","FTP","80","Request: PORT 73,6,91,115,150,106"
"172","128.719908","131.243.2.12","73.6.91.115","FTP","84","Response: 200 PORT command successful."
"173","129.009025","73.6.91.115","131.243.2.12","TCP","54","2027  >  21 [ACK] Seq=4190971883 Ack=364765254 Win=16462 Len=0"
